Codice,Nome,Città,Provincia,Regione,sezione rifermento
9234015,SEZIONE CASTEL DI SANGRO,CASTEL DI SANGRO,AQ,ABRUZZO,
9234002,SEZIONE L'AQUILA,L'AQUILA,AQ,ABRUZZO,
9234025,SEZIONE VALLELONGA - COPPO DELL'ORSO,TRASACCO,AQ,ABRUZZO,
9234019,SEZIONE VALLE ROVETO,CIVITELLA ROVETO,AQ,ABRUZZO,
9234001,SEZIONE CHIETI,CHIETI,CH,ABRUZZO,
9234012,SEZIONE FARA S.MARTINO,FARA SAN MARTINO,CH,ABRUZZO,
9234020,SEZIONE ORTONA,ORTONA,CH,ABRUZZO,
9234022,SEZIONE VASTO,VASTO,CH,ABRUZZO,
9234008,SEZIONE FARINDOLA,FARINDOLA,PE,ABRUZZO,
9234023,SEZIONE LORETO APRUTINO,LORETO APRUTINO,PE,ABRUZZO,
9234006,SEZIONE PENNE,PENNE,PE,ABRUZZO,
9234005,SEZIONE PESCARA,PESCARA,PE,ABRUZZO,
9234010,SEZIONE CASTELLI,CASTELLI,TE,ABRUZZO,
9234018,SEZIONE ISOLA DEL GRAN SASSO,ISOLA DEL GRAN SASSO,TE,ABRUZZO,
9234003,SEZIONE TERAMO,TERAMO,TE,ABRUZZO,
9242002,SEZIONE LAGONEGRO,LAGONEGRO,PZ,BASILICATA,
9244005,SEZIONE CASTROVILLARI,CASTROVILLARI,CS,CALABRIA,
9244004,SEZIONE CATANZARO,CATANZARO,CZ,CALABRIA,
9244001,SEZIONE REGGIO CALABRIA,REGGIO CALABRIA,RC,CALABRIA,
9238004,SEZIONE AVELLINO,TORRETTE DI MERCOGLIANO,AV,CAMPANIA,
9238005,SEZIONE PIEDIMONTE MATESE,SAN POTITO SANNITICO,CE,CAMPANIA,
9238001,SEZIONE NAPOLI,NAPOLI,NA,CAMPANIA,
9238003,SEZIONE SALERNO,SALERNO,SA,CAMPANIA,
9224002,SEZIONE BOLOGNA,BOLOGNA,BO,EMILIA-ROMAGNA,
9224005,SEZIONE IMOLA,IMOLA,BO,EMILIA-ROMAGNA,
9224018,SEZIONE PORRETTA TERME,PORRETTA TERME,BO,EMILIA-ROMAGNA,
9224012,SEZIONE CESENA,CESENA,FC,EMILIA-ROMAGNA,
9224016,SEZIONE ARGENTA,ARGENTA,FE,EMILIA-ROMAGNA,
9224006,SEZIONE FERRARA,FERRARA,FE,EMILIA-ROMAGNA,
9224004,SEZIONE FORLÌ,FORLÌ,FO,EMILIA-ROMAGNA,
9224017,SEZIONE CASTELFRANCO EMILIA,CASTELFRANCO EMILIA,MO,EMILIA-ROMAGNA,
9224003,SEZIONE MODENA,MODENA,MO,EMILIA-ROMAGNA,
9224015,SEZIONE SASSUOLO,SASSUOLO,MO,EMILIA-ROMAGNA,
9224001,SEZIONE PARMA,PARMA,PR,EMILIA-ROMAGNA,
9224011,SEZIONE FAENZA,FAENZA,RA,EMILIA-ROMAGNA,
